dataset,regime,method,metric,mean,sd,n,seeds
cifar,single,expert_prob_sr,student_test_accuracy,79.33333333333333,0.7157047808512472,3,"42,43,44"
cifar,single,expert_prob_sr,student_test_nll,5.327596418253581,0.19573266807393597,3,"42,43,44"
cifar,single,oracle_prob,student_test_accuracy,78.75999999999999,1.2492797925204735,3,"42,43,44"
cifar,single,oracle_prob,student_test_nll,1.7122937920888266,0.14269342428258958,3,"42,43,44"
cifar,single,feddf_logit,student_test_accuracy,9.873333333333335,1.8443788475617835,3,"42,43,44"
cifar,single,feddf_logit,student_test_nll,2.685259525426229,0.38668913169735286,3,"42,43,44"
cifar,single,oracle_logit,student_test_accuracy,78.75999999999999,1.2492797925204735,3,"42,43,44"
cifar,single,oracle_logit,student_test_nll,1.7122937920888266,0.14269342428258958,3,"42,43,44"
mnist,iid,confidence_logit,student_test_accuracy,98.42,0.1473091986265631,3,"42,43,44"
mnist,iid,confidence_logit,student_test_nll,0.050627969011687625,0.005570926262181567,3,"42,43,44"
mnist,iid,consensus_logit,student_test_accuracy,98.46333333333334,0.125033328890071,3,"42,43,44"
mnist,iid,consensus_logit,student_test_nll,0.049324783582333435,0.004280510816045423,3,"42,43,44"
mnist,iid,energy_logit,student_test_accuracy,98.51,0.06082762530298188,3,"42,43,44"
mnist,iid,energy_logit,student_test_nll,0.054722318704837604,0.0018105908692303092,3,"42,43,44"
mnist,iid,expert_logit,student_test_accuracy,98.41000000000001,0.11135528725659916,3,"42,43,44"
mnist,iid,expert_logit,student_test_nll,0.050768881373681705,0.0056136278908402735,3,"42,43,44"
mnist,alpha1p0,confidence_logit,student_test_accuracy,98.07000000000001,0.1299999999999985,3,"42,43,44"
mnist,alpha1p0,confidence_logit,student_test_nll,0.060344474947553406,0.005006783370848701,3,"42,43,44"
mnist,alpha1p0,consensus_logit,student_test_accuracy,98.33666666666666,0.0907377172587773,3,"42,43,44"
mnist,alpha1p0,consensus_logit,student_test_nll,0.052610018025835294,0.003958045911310818,3,"42,43,44"
mnist,alpha1p0,energy_logit,student_test_accuracy,98.24666666666667,0.23245071162147937,3,"42,43,44"
mnist,alpha1p0,energy_logit,student_test_nll,0.06499882500437106,0.009248077050792074,3,"42,43,44"
mnist,alpha1p0,expert_logit,student_test_accuracy,98.19666666666666,0.04725815626252714,3,"42,43,44"
mnist,alpha1p0,expert_logit,student_test_nll,0.055212108081369636,0.003283317827926139,3,"42,43,44"
