dataset,regime,mean,sd,n,seeds,contrast,metric
cifar,alpha1p0,-0.007682319386800122,0.014697070485704096,3,"42,43,44",oracle_pooling,student_test_nll
cifar,iid,0.005136396376291892,0.027845489682430002,3,"42,43,44",oracle_pooling,student_test_nll
cifar,multi,-0.009790703837076808,0.08557834736789728,3,"42,43,44",oracle_pooling,student_test_nll
cifar,single,0.0,0.0,3,"42,43,44",oracle_pooling,student_test_nll
fmnist,alpha0p1,-0.1181894984006882,0.1073116683826603,3,"42,43,44",oracle_pooling,student_test_nll
fmnist,alpha0p5,-0.015753629485766103,0.004315482492225359,3,"42,43,44",oracle_pooling,student_test_nll
fmnist,alpha1p0,-0.0072160016973813286,0.0058578329050155975,3,"42,43,44",oracle_pooling,student_test_nll
fmnist,iid,0.0011137191534042097,0.003879065138889747,3,"42,43,44",oracle_pooling,student_test_nll
fmnist,multi,-0.08842618783315011,0.06050839573551139,3,"42,43,44",oracle_pooling,student_test_nll
fmnist,single,0.0,0.0,3,"42,43,44",oracle_pooling,student_test_nll
mnist,alpha0p1,-0.0010209828433450016,0.0030142056117487106,3,"42,43,44",oracle_pooling,student_test_nll
mnist,alpha0p5,-0.002585614452247168,0.0015087294317698823,3,"42,43,44",oracle_pooling,student_test_nll
mnist,alpha1p0,-0.00013330402843806746,0.00045731922672837856,3,"42,43,44",oracle_pooling,student_test_nll
mnist,iid,-0.000840136592664432,0.00015610900031919682,3,"42,43,44",oracle_pooling,student_test_nll
mnist,multi,-0.01070918901365664,0.011827651691546507,3,"42,43,44",oracle_pooling,student_test_nll
mnist,single,0.0,0.0,3,"42,43,44",oracle_pooling,student_test_nll
cifar,alpha0p1,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
cifar,alpha0p5,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
cifar,alpha1p0,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
cifar,iid,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
cifar,multi,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
cifar,single,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
fmnist,alpha0p1,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
fmnist,alpha0p5,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
fmnist,alpha1p0,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
fmnist,iid,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
fmnist,multi,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
fmnist,single,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
mnist,alpha0p1,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
mnist,alpha0p5,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
mnist,alpha1p0,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
mnist,iid,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
mnist,multi,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
mnist,single,0.0,0.0,3,"42,43,44",oracle_pooling,target_accuracy
cifar,alpha0p1,0.09170825878730704,0.01279490478300418,3,"42,43,44",oracle_pooling,target_nll
cifar,alpha0p5,0.01812938850241415,0.006819230927576091,3,"42,43,44",oracle_pooling,target_nll
cifar,alpha1p0,0.007721185698027266,0.0016745972264356334,3,"42,43,44",oracle_pooling,target_nll
cifar,iid,0.00334582747844984,0.0012666929992640207,3,"42,43,44",oracle_pooling,target_nll
cifar,multi,0.006951078237497188,0.001639556280248814,3,"42,43,44",oracle_pooling,target_nll
cifar,single,0.0,0.0,3,"42,43,44",oracle_pooling,target_nll
fmnist,alpha0p1,0.14338421077914645,0.04738036968791901,3,"42,43,44",oracle_pooling,target_nll
fmnist,alpha0p5,0.030054470556000707,0.009587213595694827,3,"42,43,44",oracle_pooling,target_nll
fmnist,alpha1p0,0.019029859475123406,0.008276251294227698,3,"42,43,44",oracle_pooling,target_nll
fmnist,iid,0.016870507027898312,0.0020012379621442283,3,"42,43,44",oracle_pooling,target_nll
fmnist,multi,0.008392509187156469,0.004832775769550533,3,"42,43,44",oracle_pooling,target_nll
fmnist,single,0.0,0.0,3,"42,43,44",oracle_pooling,target_nll
mnist,alpha0p1,0.09847848084426436,0.009488684041214864,3,"42,43,44",oracle_pooling,target_nll
mnist,alpha0p5,0.025702844729568814,0.0064470612505688,3,"42,43,44",oracle_pooling,target_nll
mnist,alpha1p0,0.01748707873735955,0.006279314884090344,3,"42,43,44",oracle_pooling,target_nll
mnist,iid,0.01440024796745191,0.0037998967038103265,3,"42,43,44",oracle_pooling,target_nll
mnist,multi,0.013320957498511901,0.005225268330155854,3,"42,43,44",oracle_pooling,target_nll
mnist,single,0.0,0.0,3,"42,43,44",oracle_pooling,target_nll
cifar,alpha0p1,0.056508948684308814,0.011706250187178845,3,"42,43,44",oracle_pooling,target_entropy
cifar,alpha0p5,0.008205239991056454,0.0033029467175204378,3,"42,43,44",oracle_pooling,target_entropy
cifar,alpha1p0,0.004126989182200595,0.0022279221162038645,3,"42,43,44",oracle_pooling,target_entropy
cifar,iid,0.002776994258651596,0.00046464411455413664,3,"42,43,44",oracle_pooling,target_entropy
cifar,multi,0.011586645547335683,0.0027516459525843634,3,"42,43,44",oracle_pooling,target_entropy
cifar,single,0.0,0.0,3,"42,43,44",oracle_pooling,target_entropy
fmnist,alpha0p1,0.18805260017196912,0.1170968997447118,3,"42,43,44",oracle_pooling,target_entropy
fmnist,alpha0p5,0.03316882694332516,0.006533118544300631,3,"42,43,44",oracle_pooling,target_entropy
fmnist,alpha1p0,0.02493980966797234,0.008201618953504297,3,"42,43,44",oracle_pooling,target_entropy
fmnist,iid,0.02900322933793135,0.0066039493737598525,3,"42,43,44",oracle_pooling,target_entropy
fmnist,multi,0.027831184217598632,0.013541172028224182,3,"42,43,44",oracle_pooling,target_entropy
fmnist,single,0.0,0.0,3,"42,43,44",oracle_pooling,target_entropy
mnist,alpha0p1,0.11587811900569411,0.016401854231970204,3,"42,43,44",oracle_pooling,target_entropy
mnist,alpha0p5,0.026172403496893832,0.007196732004491742,3,"42,43,44",oracle_pooling,target_entropy
mnist,alpha1p0,0.020038841487353503,0.010466528912563383,3,"42,43,44",oracle_pooling,target_entropy
mnist,iid,0.01982104926194957,0.005480952697417083,3,"42,43,44",oracle_pooling,target_entropy
mnist,multi,0.044943733635818016,0.01953252778521236,3,"42,43,44",oracle_pooling,target_entropy
mnist,single,0.0,0.0,3,"42,43,44",oracle_pooling,target_entropy
cifar,alpha0p1,0.2855666666666667,0.11177228338605831,3,"42,43,44",expertise_gain,student_test_accuracy
cifar,alpha0p5,0.06543333333333334,0.009305016568138607,3,"42,43,44",expertise_gain,student_test_accuracy
cifar,alpha1p0,0.013766666666666668,0.0015947831618540855,3,"42,43,44",expertise_gain,student_test_accuracy
cifar,iid,-0.0007666666666666192,0.0038527046776690613,3,"42,43,44",expertise_gain,student_test_accuracy
cifar,multi,0.26866666666666666,0.041450251306033505,3,"42,43,44",expertise_gain,student_test_accuracy
cifar,single,0.6928666666666666,0.007050059101407117,3,"42,43,44",expertise_gain,student_test_accuracy
fmnist,alpha0p1,0.2481333333333334,0.1503162444093563,3,"42,43,44",expertise_gain,student_test_accuracy
