run_id,dataset,regime,seed,method,valid,reason
8890e361e723bfaf,cifar,multi,42,oracle_prob,True,
2b1f3cf2af74e691,cifar,multi,42,feddf_logit,True,
dfcb4f0cd06f2dec,cifar,multi,42,oracle_logit,True,
d1edd9170634ba1b,cifar,multi,42,confidence_logit,True,
6973df2b8ea6cf7b,cifar,multi,42,consensus_logit,True,
7e45df5be148ac25,cifar,multi,42,energy_logit,True,
8f0e304de29f7a95,cifar,multi,42,expert_logit,True,
713d6b6a6dec828d,cifar,multi,43,feddf_prob,True,
cccf669675b00118,cifar,multi,43,expert_prob,True,
792d725e8dad193e,cifar,multi,43,expert_prob_sr,True,
0ef3f2f21cd2a102,cifar,multi,43,oracle_prob,True,
a622d7f9909526f2,cifar,multi,43,feddf_logit,True,
319503d2be798cfb,cifar,multi,43,oracle_logit,True,
b37afb16cfc0a581,cifar,multi,44,feddf_prob,True,
c75c2a10a08cf2fd,cifar,multi,44,expert_prob,True,
32eb9c6244b07d5b,cifar,multi,44,expert_prob_sr,True,
90b453e37aa2a237,cifar,multi,44,oracle_prob,True,
8cd7927a762a1601,cifar,multi,44,feddf_logit,True,
2da55c56165389a1,cifar,multi,44,oracle_logit,True,
dcc1cd8b8d9e76db,cifar,single,42,feddf_prob,True,
f384e4ed50945edc,cifar,single,42,expert_prob,True,
054560e06a5eca83,cifar,single,42,expert_prob_sr,True,
a331dc9eabe1e5b8,cifar,single,42,oracle_prob,True,
5d961fd8d996b192,cifar,single,42,feddf_logit,True,
28bbd20b734ca0ba,cifar,single,42,oracle_logit,True,
30fad745b10be4d3,cifar,single,43,feddf_prob,True,
9d78cd505aef877c,cifar,single,43,expert_prob,True,
209815128fc8fe36,cifar,single,43,expert_prob_sr,True,
d50362a1d4b30185,cifar,single,43,oracle_prob,True,
016e17606ae032ce,cifar,single,43,feddf_logit,True,
0ce85fdb9c38d1f1,cifar,single,43,oracle_logit,True,
b60b5aaedfc63c0a,cifar,single,44,feddf_prob,True,
5284426a3da466ef,cifar,single,44,expert_prob,True,
9b17057e89931026,cifar,single,44,expert_prob_sr,True,
5057abc673058bb2,cifar,single,44,oracle_prob,True,
a77ff94eb714a10b,cifar,single,44,feddf_logit,True,
c90017f9805aec2e,cifar,single,44,oracle_logit,True,
d9e89fd40a0db3ea,fmnist,alpha0p1,42,feddf_prob,True,
f003b578acbead11,fmnist,alpha0p1,42,expert_prob,True,
